Original String,Last 9 Digits
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-navy-padded-zip-through-gilet/p/882826641,882826641
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-black-puffer-zip-up-gilet/p/882824301,882824301
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-black-colour-block-puffer-jacket/p/882823101,882823101
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-dark-grey-padded-jacket/p/882819103,882819103
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-khaki-faux-fur-trim-hooded-parka-jacket/p/882818634,882818634
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-black-hooded-puffer-jacket/p/882817201,882817201
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-black-padded-lightweight-jacket/p/882816101,882816101
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-navy-knitted-sleeve-padded-jacket/p/882813041,882813041
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-grey-marl-revere-collar-suit-jacket/p/882812107,882812107
https://www.newlook.com/row/mens/clothing/shirts/threadbare-multicoloured-cotton-check-long-sleeve-shirt/p/882810499,882810499
https://www.newlook.com/row/mens/clothing/shirts/threadbare-multicoloured-cotton-check-long-sleeve-shirt/p/882808399,882808399
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-multicoloured-check-borg-shacket/p/882806799,882806799
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/threadbare-cream-crew-neck-sweatshirt/p/882804916,882804916
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/threadbare-navy-zip-neck-embroidered-sweatshirt/p/882804741,882804741
https://www.newlook.com/row/mens/clothing/trousers/threadbare-navy-cotton-drawstring-cuffed-joggers/p/882800841,882800841
https://www.newlook.com/row/mens/accessories/black-pocket-front-backpack/p/875757901,875757901
https://www.newlook.com/row/mens/clothing/shirts/threadbare-stone-pocket-shacket/p/873573016,873573016
https://www.newlook.com/row/mens/clothing/shirts/threadbare-navy-pocket-shacket/p/873570341,873570341
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/threadbare-navy-crew-neck-sweatshirt/p/873563241,873563241
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/threadbare-turquoise-varsity-logo-hoodie/p/873536348,873536348
https://www.newlook.com/row/mens/clothing/hoodies-sweatshirts/threadbare-blue-zip-logo-hoodie/p/873534640,873534640
https://www.newlook.com/row/mens/clothing/jackets-coats/threadbare-navy-fleece-bomber-jacket/p/873533841,873533841
https://www.newlook.com/row/mens/clothing/shirts/threadbare-navy-geometric-short-sleeve-shirt/p/873506641,873506641
https://www.newlook.com/row/mens/clothing/shirts/threadbare-white-cotton-long-sleeve-oxford-shirt/p/873505510,873505510
https://www.newlook.com/row/c/blue-cotton-crew-neck-t-shirt/p/867526240,867526240
https://www.newlook.com/row/c/khaki-cotton-crew-neck-t-shirt/p/867526234,867526234
https://www.newlook.com/row/c/dark-grey-cotton-crew-neck-t-shirt/p/867526203,867526203
https://www.newlook.com/row/mens/clothing/t-shirts/farah-grey-short-sleeve-polo-top/p/863385541,863385541
https://www.newlook.com/row/mens/clothing/underwear-socks/jack-jones-multicoloured-floral-socks/p/859246782,859246782
https://www.newlook.com/row/mens/accessories/jack-jones-5-pack-black-tropical-summer-socks/p/859246501,859246501
https://www.newlook.com/row/mens/clothing/underwear-socks/jack-jones-5-pack-multicoloured-stripe-socks/p/859246499,859246499
https://www.newlook.com/row/mens/clothing/underwear-socks/jack-jones-5-pack-green-tropical-socks/p/859246230,859246230
